Error Number	Error Type	File Name	Details of Error	Line Number	
1	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06806.ts	
2	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06807.ts	
3	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06808.ts	
4	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06809.ts	
5	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06811.ts	
6	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06812.ts	
7	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06813.ts	
8	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06814.ts	
9	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06815.ts	
10	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06816.ts	
11	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06817.ts	
12	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06818.ts	
13	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06819.ts	
14	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06820.ts	
15	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06821.ts	
16	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06822.ts	
17	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06823.ts	
18	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06824.ts	
19	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06825.ts	
20	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06826.ts	
21	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06827.ts	
22	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06828.ts	
23	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06829.ts	
24	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06830.ts	
25	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06831.ts	
26	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06832.ts	
27	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06833.ts	
28	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06834.ts	
29	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06835.ts	
30	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06836.ts	
31	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06837.ts	
32	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06838.ts	
33	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06839.ts	
34	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06840.ts	
35	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06841.ts	
36	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06842.ts	
37	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06843.ts	
38	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06844.ts	
39	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06845.ts	
40	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06846.ts	
41	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06847.ts	
42	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06848.ts	
43	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06849.ts	
44	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06850.ts	
45	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06851.ts	
46	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06852.ts	
47	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06853.ts	
48	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06854.ts	
49	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06855.ts	
50	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06856.ts	
51	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06857.ts	
52	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06858.ts	
53	File Missing Validation	ipadipad-high.m3u8	File is missing from Directory: ipadipad-high_06859.ts	
54	Multiple #EXT-X-VERSION Tag Validation	ipadipad-high.m3u8	File has more than one #EXT-X-VERSION: Tag 	
55	Duplicate MediaURI	ipadipad-high.m3u8	Media URI values are not unique: MediaURI:ipadipad-high_06800.ts	
56	Media URI not incremented by 1	ipadipad-high.m3u8	Media URI values are not incremented by 1: Previous Value - 6809 New Value - 6800	27	
57	Media URI not incremented by 1	ipadipad-high.m3u8	Media URI values are not incremented by 1: Previous Value - 6800 New Value - 6811	29	
